Date,Open,High,Low,Close,Volume
2020-06-24,93.26,94.2,91.5,92.46,16271170
2020-06-29,91.25,91.55,89.8,90.88,17522854
2020-06-30,91.2,91.87,90.88,91.12,14172903
2020-07-01,91.58,100.23,91.5,100.23,44045748
2020-07-02,101.48,110.15,101,107.61,42630227
2020-07-03,109.01,111.28,105.55,110.1,32762607
2020-07-06,110.09,113.8,108.8,111.47,29037010
2020-07-07,110.8,118.02,108.87,114.85,25357226
2020-07-08,112.47,117,112.41,114.89,17645951
2020-07-09,114.89,119.5,114.44,119.5,15741084
2020-07-10,119.3,125.17,117.41,121.5,18574463
2020-07-13,120,127,119.38,124.91,26357105
2020-07-14,125,126.91,120,123.8,17993461
2020-07-15,123.5,131.2,123.29,127.88,20954235
2020-07-16,125.8,125.85,115.09,115.09,31038000
2020-07-17,111.21,118.25,111.21,114.01,24605965
2020-07-20,115,116,106.9,112.8,23736061
2020-07-21,112.69,117.08,111.8,115.03,17606188
2020-07-22,114.65,118.81,113.07,117.1,16171128
2020-07-23,116,120.4,115.58,120,17110866
2020-07-24,119.14,119.88,112.17,113.98,17377032
2020-07-27,113.97,116.4,113,115.05,10637324
2020-07-28,114.01,119.19,114,116.9,15761948
2020-07-29,118.02,118.6,114.38,118.19,14406790
2020-07-30,117.01,120,117,118.19,12843554
2020-07-31,117.99,119.52,115.77,117.98,12196683
2020-08-03,118.1,119.4,116.3,117.51,11479257
2020-08-04,117.52,119.49,116.58,117.1,11355598
2020-08-05,116,118.99,114.51,118.86,13093258
2020-08-06,118,118.5,114.04,114.73,14812183
2020-08-07,114.5,115.52,109.1,111,18874577
2020-08-10,111.7,112.55,109.05,111.9,10129063
2020-08-11,113,115.32,112,112.86,10070798
2020-08-12,112.75,113.24,109.05,110.9,8996729
2020-08-13,112,112.98,110.1,111.18,7090476
2020-08-14,112,118,110.9,117.59,18751742
2020-08-17,120,124.44,119.88,123.9,22855529
2020-08-18,123.39,128,122.39,125.66,14535415
2020-08-19,125.65,131.5,124.51,127.87,18994119
2020-08-20,127.6,127.6,122.92,125.36,11801929
2020-08-21,127,130.36,126.05,127.86,10011996
2020-08-24,127.65,129.5,124.83,128.06,10491794
2020-08-25,129,139.36,128.95,138.37,18986466
2020-08-26,138.38,140,135.4,138.2,19277494
2020-08-27,137.71,142.5,136.58,142.48,13518207
2020-08-28,144.14,154.98,141.3,151.49,24987476
2020-08-31,152.6,155.88,149.02,149.5,17873829
2020-09-01,146.7,148.37,141.5,147.77,19234506
2020-09-02,148.04,149.55,145.1,147.1,11441885
2020-09-03,147,153.37,146.1,150.51,17035218
2020-09-04,146.7,152.5,143.07,152.38,14442850
2020-09-07,151.92,156.98,148.5,152,18044450
2020-09-08,151.99,152.9,139.01,141.64,22197845
2020-09-09,136.5,142.78,134.56,138.41,12780258
2020-09-10,141.5,144.95,141,141.58,11849841
2020-09-11,141,146.38,140.03,146,12400515
2020-09-14,147,148.5,143.5,146.44,11220412
2020-09-15,146.1,146.99,144.3,146.21,6554940
2020-09-16,146.08,148.48,143,143.48,7970419
2020-09-17,141.6,142.8,136.11,140,14998785
2020-09-18,139.23,142.3,138.04,142.17,9270294
2020-09-21,141.5,141.95,139.36,140.5,6170337
2020-09-22,138.9,142.14,138.51,139.93,5795572
2020-09-23,136,140.49,133.33,139.64,11551371
2020-09-24,139.9,141.23,137.6,137.72,5694904
2020-09-25,138.5,141.33,138.11,138.88,5367121
2020-09-28,141,146.5,140,144.36,12308484
2020-09-29,145.95,146.2,142.1,144,7580772
2020-09-30,146.99,146.99,142.5,143.55,7420918
2020-10-09,144.8,147.5,142.94,145.6,8824656
2020-10-12,145.62,153.03,145.61,151.79,14152982
2020-10-13,151.79,154.78,150.08,152.45,11584864
2020-10-14,152,154.46,149.69,150.7,9436544
2020-10-15,150.84,154,150.72,151.7,6277401
2020-10-16,151.57,152.58,148.5,149.88,5946783
2020-10-19,150.21,152.8,149.02,150,5636005
2020-10-20,149.4,157.58,149.13,157.09,14313592
2020-10-21,156.78,159,156.05,157.9,9714207
2020-10-22,158.3,163.9,154.87,162,14330700
2020-10-23,161.06,162.98,153.02,155.6,13304049
2020-10-26,150.06,155.55,147.01,155.51,9480006
2020-10-27,155.22,158.3,154.26,155.9,7300993
2020-10-28,155.69,164,155.12,162.7,12498495
2020-10-29,170.1,178.97,169.06,178.97,22856709
2020-10-30,175.11,176.62,170.02,172.5,21286877
2020-11-02,173.89,179.45,172.6,177.9,16150046
2020-11-03,177.9,182.79,177.05,182.43,14248055
2020-11-04,181.8,184.6,180.29,183.54,7884856
2020-11-05,185.5,186.36,181.69,183.36,10777758
2020-11-06,182.4,183.2,179.1,182.8,10662872
2020-11-09,183.29,186.65,181.52,185.95,11041092
2020-11-10,185.98,192.48,184.01,189.45,10886005
2020-11-11,188.8,195.36,188.05,190.7,12771725
2020-11-12,190,194.5,188.09,192.11,9208832
2020-11-13,189.05,190.51,180.25,186.69,13479786
2020-11-16,187.2,197.97,187,197.97,15008609
