Date,Open,High,Low,Close,Volume
2008-01-09,230.95,230.99,221.88,223.3,103364
2008-01-10,222.5,222.85,213.7,215.12,87984
2008-01-11,218,219.23,215.5,218.1,85418
2008-01-14,218.85,220.25,217.6,220.1,60776
2008-01-15,220.7,224.6,220.3,223.8,88242
2008-01-16,220.6,220.6,215.4,215.89,94362
2008-01-17,214.03,216.8,213.5,216.47,61962
2008-01-18,214,214.9,212.42,214.7,58006
2008-01-21,214.7,216.33,213.8,214.2,43510
2008-01-22,208,209.5,204.72,206.41,78532
2008-01-23,212,214.25,210.9,212.51,60988
2008-01-24,213.02,217.08,212.61,216.7,57962
2008-01-25,220.1,221.4,218.32,219.8,72624
2008-01-28,219.6,221.97,219.2,220.33,62712
2008-01-29,223.6,224.3,222.56,222.56,47652
2008-01-31,220,221.04,218.22,219.35,43002
2008-02-01,220.61,221,218.56,218.75,28726
2008-02-04,216,216.94,215,215.6,31388
2008-02-05,215.5,215.58,214.7,215.26,17456
2008-02-13,216.01,216.16,213.5,213.69,22060
2008-02-14,214.6,216.18,214.43,216.1,29802
2008-02-15,216,216.51,215.33,216.25,22126
2008-02-18,215.2,215.7,214.2,215.48,22840
2008-02-19,215.51,218.38,215.5,218.38,42656
2008-02-20,222,222.25,219.51,219.81,50118
2008-02-21,221.81,224.1,221.81,223.58,50356
2008-02-22,221.5,224.45,221.5,222.45,40978
2008-02-25,223.6,225.8,223,225.78,39612
2008-02-26,222.96,222.96,218.92,219.43,46998
2008-02-27,224.9,226,224.02,224.68,37188
2008-02-28,225,225.5,223.42,223.5,22788
2008-02-29,226,226.5,225.23,225.43,31254
2008-03-03,226.55,228.99,226.23,228.45,41170
2008-03-04,229.02,229.85,226.73,227.2,31874
2008-03-05,224,224.99,223.5,224.75,23908
2008-03-06,227,228.69,227,227.95,22082
2008-03-07,226.5,227.63,226.5,227.58,14940
2008-03-10,226,226,224.63,225.2,15138
2008-03-11,225,225.47,224.11,224.6,13184
2008-03-12,224.97,225.25,223.79,224.26,14300
2008-03-13,226.51,226.98,225.35,226.48,19782
2008-03-14,228,228.6,227.57,227.87,23164
2008-03-17,231.22,233.59,231.22,232.36,42482
2008-03-18,226,228.19,226,227.58,35308
2008-03-19,225.5,226.29,225.5,226.2,18872
2008-03-20,214.55,214.55,214.55,214.55,6530
2008-03-21,209.48,210.47,207.58,210.11,24388
2008-03-24,209.75,209.99,206.31,206.81,26702
2008-03-25,209,210.85,208.1,210.19,25658
2008-03-26,212.97,213.45,211.58,211.8,26278
2008-03-27,213.98,214.5,213.1,213.3,18126
2008-03-28,213.11,213.28,211.2,211.76,13966
2008-03-31,209.02,209.47,208.41,208.98,14388
2008-04-01,206.23,206.37,198.88,203.22,33934
2008-04-02,200.18,202,198.11,199.13,36416
2008-04-03,202,202.45,201.13,202.35,19752
2008-04-04,202,202.45,201.13,202.35,19752
2008-04-07,205,205.5,204.05,205.36,14318
2008-04-08,206.45,206.99,204.03,204.81,22960
2008-04-09,204.82,204.95,202.86,203.35,20438
2008-04-10,208,208.09,206.86,207.5,18414
2008-04-11,206,206,204.16,204.56,17082
2008-04-14,201.5,205.5,201.5,205.4,15516
2008-04-15,206.2,208.65,205.8,208.62,20794
2008-04-16,206.7,207.5,205.7,207.03,16288
2008-04-17,209.8,211.09,209.38,210.66,16078
2008-04-18,209,210.7,209,210.15,9282
2008-04-21,206,206.8,204.26,204.5,15046
2008-04-22,203.5,204.78,203.5,203.77,7206
2008-04-23,204.97,204.97,202.5,203.4,8056
2008-04-24,201.5,203.45,201.4,202.6,11112
2008-04-25,198.5,198.66,197.81,198.22,12600
2008-04-28,198.97,200.35,198.8,199.94,10840
2008-04-29,199.5,199.75,198.25,198.62,9208
2008-04-30,195.48,196,194.13,195.98,20378
2008-05-01,195.48,196,194.13,195.98,20378
2008-05-02,195.48,196,194.13,195.98,20378
2008-05-05,194.99,195.38,194.21,194.63,16342
2008-05-06,196,196.3,195.51,196.03,12532
2008-05-07,196.5,196.78,194.8,194.96,12972
2008-05-08,194.5,194.5,193.85,194.15,10360
2008-05-09,196.5,197.48,196.5,197.48,14464
2008-05-12,198.15,198.38,197.03,197.38,11010
2008-05-13,197.26,197.49,196.55,196.6,8816
2008-05-14,194.8,194.8,194.1,194.63,8994
2008-05-15,194.16,195.35,193.5,195.3,10946
2008-05-16,197.3,198.1,196.8,197.86,13810
2008-05-19,202.11,203.98,202.01,203.48,15132
2008-05-20,202.68,203.5,202.01,203.33,12260
2008-05-21,204.99,205.74,204.6,204.68,17252
2008-05-22,208.16,208.25,207.16,208.02,15166
2008-05-23,204.63,204.82,204.08,204.7,12752
2008-05-26,206.5,207.58,206.4,207.13,8416
2008-05-27,208.11,208.11,206.75,206.8,10542
2008-05-28,203,203.4,202.61,203.38,12250
2008-05-29,202.2,202.45,200.09,200.33,20840
2008-05-30,196.5,197.3,195.02,195.07,17240
2008-06-02,197,197.59,196.01,196.35,18710
2008-06-03,197.61,200.16,197.61,199.84,17002
2008-06-04,195.51,196.63,195.33,196.15,13168
2008-06-05,195.96,196.55,195.5,196.55,13990
2008-06-06,196.99,197.75,196.36,197.28,13188
2008-06-09,196.99,197.75,196.36,197.28,13188
2008-06-10,198.5,198.85,197.6,198.4,14864
2008-06-11,194.99,195.69,194.4,195.6,18060
2008-06-12,196.5,196.7,193.61,194.13,20576
2008-06-13,194.5,195.3,194.5,194.69,13770
2008-06-16,195.5,195.88,193.8,193.85,14766
2008-06-17,195.87,197.77,195.72,197.61,24332
2008-06-18,197.05,197.45,196.3,196.86,9454
2008-06-19,198.02,198.58,197.7,198.33,10642
2008-06-20,198.72,200.23,198.3,199.88,14702
2008-06-23,200.01,201.24,199.88,200.95,12552
2008-06-24,197,197,196.18,196.59,13980
2008-06-25,196.35,197.4,196.35,196.91,6346
2008-06-26,196.88,197.68,196.8,197.28,10374
2008-06-27,202.99,203.49,202,202.58,14240
2008-06-30,205.51,205.85,204.7,205.71,13176
2008-07-01,204.5,205.75,204.03,205.55,12342
2008-07-02,207.95,208.63,207.45,208.06,13600
2008-07-03,208.1,208.69,207.65,208.3,14756
2008-07-04,206.31,206.88,206.3,206.31,11306
2008-07-07,205.88,205.98,203.51,203.61,13396
2008-07-08,204.18,206.3,204.18,205.75,12188
2008-07-09,203.58,204.58,202.66,204.27,11806
2008-07-10,205.8,206.15,204.73,205.59,12396
2008-07-11,208.11,208.5,207.85,208.41,11740
2008-07-14,212.46,212.5,211.5,212.2,15412
2008-07-15,212.88,213.92,212.75,213.9,17258
2008-07-16,211,212.49,211,211.62,17956
2008-07-17,211.5,211.5,210.8,211.12,6126
2008-07-20,209.99,211.5,209.52,211.36,12658
2008-07-21,211,212,210.81,211.95,14032
2008-07-22,212.61,214.2,212.5,214.11,15318
2008-07-23,209.98,209.98,206.5,206.6,23976
2008-07-24,202.29,204.38,200.45,203.4,19938
2008-07-25,203.88,205.78,203.88,205.22,11112
2008-07-28,205,205.2,203.93,204.3,9208
2008-07-29,205.41,205.7,204.59,204.68,8518
2008-07-30,202,202.4,201.3,202.11,9972
2008-07-31,201.27,202.9,201.02,202.84,18976
2008-08-01,201.5,201.97,201.31,201.6,9420
2008-08-04,201.66,203.38,201.66,203.35,10824
2008-08-05,197.8,199.46,195.8,196.75,20124
2008-08-06,195.77,196.95,195.1,196.91,13228
2008-08-07,196.02,197.49,196.02,197.4,9230
2008-08-08,194.5,194.87,193.52,194.11,14476
2008-08-11,192.31,193.38,191,191.4,17024
2008-08-12,182.82,182.82,182.82,182.82,2062
2008-08-13,180.1,184.6,179.1,184.5,38206
2008-08-14,186.6,186.87,184.04,186.09,22812
2008-08-15,176.28,177.87,176.1,176.1,27944
2008-08-18,179.33,181.52,178.81,181.44,22596
2008-08-19,178.28,178.72,176.18,176.44,24368
2008-08-20,183.03,183.29,181.86,182.41,19694
2008-08-21,183.3,184.55,182.73,184.3,17578
2008-08-22,187,187.3,186.12,186.59,15108
2008-08-25,182.51,183.18,181.1,182.81,15814
2008-08-26,182.05,183.35,181.56,182.3,15318
2008-08-27,184.49,185.34,184.15,184.85,12512
2008-08-28,185.11,186.12,184.72,185.75,11370
2008-08-29,184.38,185.75,184.35,185.45,10890
2008-09-01,185,185.18,184.5,184.91,8866
2008-09-02,180.5,181.4,179.37,179.66,17368
2008-09-03,180,180.24,178.1,178.7,16388
2008-09-04,179.8,180.32,179.35,180.3,14022
2008-09-05,176.5,178.33,176.3,178.08,15300
2008-09-08,181.4,182.09,180.8,181.23,17896
2008-09-09,179,179.27,177.5,178.48,18250
2008-09-10,170.81,173.85,170.71,173.21,25450
2008-09-11,169.2,169.9,168.5,168.93,21558
2008-09-12,168.9,169.8,168.4,169.73,25854
2008-09-15,168.9,170,168.4,170,26708
2008-09-16,174.02,174.38,171,172.97,44052
2008-09-17,174.66,174.88,173.41,174.55,22502
2008-09-18,182.86,182.86,182.86,182.86,1050
2008-09-19,189,189.7,185.8,187.31,50720
2008-09-22,191,191.86,189.5,191.7,34970
2008-09-23,199.38,199.5,196.25,196.3,39760
2008-09-24,195,196.66,193.38,196.28,36066
2008-09-25,195,197.48,194.47,197.28,28310
2008-09-26,195,195.46,192.88,193.69,23162
2008-10-06,184.35,184.68,184.35,184.35,7894
2008-10-07,188.3,192.09,188,192,47028
2008-10-08,194.08,199.98,193.12,199.4,51198
2008-10-09,198.1,199.18,193.88,194.72,64838
2008-10-10,203.5,204.5,199.1,202.75,168896
2008-10-13,191.54,191.96,191.54,191.54,17624
2008-10-14,188.7,188.7,185.69,186.6,48374
2008-10-15,186.41,187.28,185.5,186.71,51620
2008-10-16,184.5,185.49,177.1,179.7,71010
2008-10-17,176,177.8,173.6,176.56,48656
2008-10-20,175,177.6,172.61,177.15,57294
2008-10-21,176,176.3,172.33,172.75,44262
2008-10-22,169,169.33,165.35,165.35,35712
2008-10-23,155.44,159.97,155.44,159.55,40168
2008-10-24,158,159.5,148.88,148.88,104556
2008-10-27,160.3,160.65,152.13,155.84,93960
2008-10-28,159.85,164.32,155.8,164.19,86138
2008-10-29,163,164.48,161.21,163.88,68682
2008-10-30,168,168.4,165.66,167.91,79482
2008-10-31,159.1,159.74,159.1,159.1,31252
2008-11-03,159,161.1,157.97,160.69,68360
2008-11-04,159.5,159.6,156.51,158.41,65148
2008-11-05,166.05,166.05,163.3,164.16,55966
2008-11-06,160.5,160.88,159.38,159.63,47062
2008-11-07,156.81,159.68,156.01,159.3,54380
2008-11-10,162.97,163.88,162.01,163.22,46224
2008-11-11,161,161.19,159.84,160.3,51862
2008-11-12,158,160.33,157.69,160.1,42652
2008-11-13,155,155.31,153.37,153.55,54446
2008-11-14,158,158.5,157.38,157.99,40700
2008-11-17,158.6,160.97,158.6,160.97,41858
2008-11-18,159.8,160.8,159.5,159.55,30262
2008-11-19,160,160.78,160,160.75,19130
2008-11-20,159.69,164,159.69,161.44,58262
2008-11-21,161.4,165.3,161.22,164.88,67320
2008-11-24,171.47,171.47,171.47,171.47,5610
2008-11-25,178.85,178.85,176.05,177.96,57282
2008-11-26,177.01,177.75,176.7,177.4,26038
2008-11-27,177.02,179.47,177.02,177.68,32376
2008-11-28,177.4,177.96,176.77,177.61,22958
2008-12-01,177.01,178.08,175.88,177.33,30958
2008-12-02,168.51,169.58,168.07,168.07,32096
2008-12-03,168.5,170.3,168.43,169.7,29084
2008-12-04,168.76,169.03,167.01,167.82,39078
2008-12-05,168,168.77,167.34,168.69,50378
2008-12-08,166.99,170.4,166.7,170.24,47686
2008-12-09,170.25,171.47,169.6,170.4,32026
2008-12-10,171.85,173.16,171,173.08,39572
2008-12-11,176.6,180.84,176.6,180.8,39022
2008-12-12,181,181.88,177.12,178.02,62898
2008-12-15,182,184.38,181.7,183.61,46738
2008-12-16,184,184,182.61,183.1,40460
2008-12-17,186.66,186.7,183.9,184.28,45270
2008-12-18,186,188,185.8,186.66,46614
2008-12-19,183.52,185.26,183.11,184.98,37076
2008-12-22,184.99,186.1,183.91,184.29,46502
2008-12-23,184.07,185.5,183.88,185.19,26410
2008-12-24,183.99,184.45,183.69,184.22,16578
2008-12-25,184.75,186.16,184.51,185.84,16706
2008-12-26,185.51,186.1,185.15,185.41,14114
2008-12-29,194.88,194.88,192.6,193.87,33046
2008-12-30,191.8,192.5,190.32,190.91,22554
2008-12-31,190.75,190.98,188.4,189.21,21060
2009-01-05,191.03,192.01,188.3,190.25,43542
2009-01-06,185.5,186.88,184.32,184.61,35598
2009-01-07,187.01,188.15,186.22,187.63,33054
2009-01-08,184.7,185.09,183.98,184.79,26624
2009-01-09,185.88,186.97,185.53,186.94,17112
2009-01-12,185.7,186.98,185.24,185.82,19966
2009-01-13,180.38,181.05,179.02,179.2,25170
2009-01-14,179.9,180.99,179.53,180.9,20908
2009-01-15,178.02,178.28,176,177.48,26104
2009-01-16,178.5,180.73,178.5,180.41,22210
2009-01-19,183.38,184.56,183.11,184.12,19250
2009-01-20,181.71,182.2,180.9,181.65,13612
2009-01-21,185.88,187,185.7,186.43,13450
2009-01-22,187,187.38,186,186.61,8930
2009-01-23,186.59,188.59,186,187.51,7610
2009-02-02,200.16,200.16,198.38,198.46,19710
2009-02-03,197.58,198.5,197,197.31,16838
2009-02-04,197,197.55,196.52,196.85,12532
2009-02-05,197.6,198.85,197.38,198.75,17244
2009-02-06,199.24,200.55,199.22,200.31,17328
2009-02-09,198.75,198.98,197.5,198.33,18230
2009-02-10,196.78,197.25,195.65,195.99,17672
2009-02-11,200,200.58,199.35,199.58,18014
2009-02-12,205,205.78,204.65,205.54,21010
2009-02-13,205.21,206.12,205.21,206.08,13728
2009-02-16,205.38,205.68,204.8,205.52,13036
2009-02-17,206.5,215,206.5,210.83,34462
2009-02-18,212.1,213.96,211.8,213.59,24246
2009-02-19,215.66,215.9,213.69,214.01,23434
2009-02-20,213.46,214.45,212.92,214.4,17504
2009-02-23,217.8,217.84,216,216.5,23514
2009-02-24,216.21,217.39,215.74,216.8,19052
2009-02-25,211.49,211.94,209.41,209.63,27128
2009-02-26,209,209.29,206.8,208.23,30488
2009-02-27,206.9,207.44,205.88,206.48,24676
2009-03-02,208.68,209.5,208.03,209.31,21986
2009-03-03,204.18,204.8,203.5,203.96,26320
2009-03-04,201.52,201.59,200.63,201.48,21848
2009-03-05,201.09,202.5,200.72,202.5,35920
2009-03-06,205.6,207.78,205,207.73,32018
2009-03-09,207.12,207.35,205.81,206.06,23438
2009-03-10,202.49,202.7,201.5,201.58,23930
2009-03-11,197,198.6,196.53,198.49,24044
2009-03-12,200.65,202.15,200.21,201.79,22650
2009-03-13,203.13,203.63,202.71,202.75,20588
2009-03-16,203.49,204.28,203.43,203.63,14654
