Date,Open,High,Low,Close,Volume
2017-01-17,5998,6070,5956.8,6065,8087
2017-01-18,6059,6105,6038,6073.8,7472
2017-01-19,6063.4,6093.4,6026.6,6047,6053
2017-01-20,5988,6108,5983,6082.8,8844
2017-01-23,6095,6157.6,6095,6114.2,6444
2017-01-24,6109.8,6129.6,6090.4,6123,5648
2017-01-25,6102.4,6158,6091.6,6155,5634
2017-01-26,6162.8,6197.6,6152.6,6188.8,4638
2017-02-03,6190,6199.8,6079.6,6165,5183
2017-02-06,6171.2,6207.2,6147.8,6199.6,6191
2017-02-07,6200,6218.6,6163,6187.4,6258
2017-02-08,6180,6261.8,6166,6246.6,6954
2017-02-09,6248,6299,6244.6,6284.8,6392
2017-02-10,6288,6306.8,6269,6294.2,7018
2017-02-13,6295.2,6348.4,6284.2,6330.2,6313
2017-02-14,6338.8,6342,6306.8,6332,5295
2017-02-15,6335.8,6350,6285,6289.6,5833
2017-02-16,6289.6,6348.8,6289.6,6345,4994
2017-02-17,6295.8,6295.8,6200,6213,8960
2017-02-20,6220.2,6315,6218.4,6313.8,10098
2017-02-21,6311,6361.4,6302.4,6341,9310
2017-02-22,6348,6395.2,6338,6389.6,9035
2017-02-23,6389.4,6407,6348.4,6397.6,9983
2017-02-24,6390.4,6413,6375.4,6410.6,8443
2017-02-27,6410,6410,6332.2,6348,9370
2017-02-28,6350.2,6387.8,6347.2,6376.4,9387
2017-03-01,6375.8,6444,6363.6,6397.8,10832
2017-03-02,6416.8,6423.8,6362.2,6390,9945
2017-03-03,6379.8,6418,6346.2,6393,10414
2017-03-06,6404.8,6479.8,6403.4,6459.8,9589
2017-03-07,6463.8,6469.6,6433.6,6465,8213
2017-03-08,6466,6466,6427.4,6449.6,8016
2017-03-09,6436,6442.4,6361.2,6390.8,10675
2017-03-10,6397.8,6429.8,6392.4,6410.4,8480
2017-03-13,6404.8,6489.8,6365.4,6484.6,10438
2017-03-14,6487.2,6503.8,6461,6470,8196
2017-03-15,6464.6,6486,6455.4,6466.4,8862
2017-03-16,6489.6,6544,6489.6,6539,7810
2017-03-17,6485,6553,6393,6410,12413
2017-03-20,6423.6,6434.4,6385,6427,9473
2017-03-21,6426.6,6445,6403.4,6445,8546
2017-03-22,6415.8,6442.4,6372.8,6428.8,10292
2017-03-23,6441,6477.4,6382,6450,12578
2017-03-24,6451.4,6535,6445.8,6527.8,11786
2017-03-27,6533.4,6534,6466.4,6480.6,10213
2017-03-28,6485,6496,6453.2,6467.2,8921
2017-03-29,6470,6491.8,6406.4,6443.6,11307
2017-03-30,6438,6454.6,6354,6366.4,12536
2017-03-31,6378.6,6394.2,6352.6,6380.2,9206
2017-04-05,6418,6545,6418,6538.6,11851
2017-04-06,6547,6548.4,6514,6536,8650
2017-04-07,6528.8,6578,6510.2,6556,8807
2017-04-10,6551.2,6569.4,6537.4,6546,7268
2017-04-11,6549,6618.4,6509,6602.2,11275
2017-04-12,6608.8,6609.8,6547.8,6555.8,9866
2017-04-13,6550.2,6627.8,6550.2,6610,9324
2017-04-14,6605,6608.4,6503.2,6518.8,11205
2017-04-17,6505.2,6516,6425.4,6443.2,11107
2017-04-18,6455,6484.6,6418,6422.2,9838
2017-04-19,6400,6408.6,6284,6346.6,11663
2017-04-20,6350.2,6383.8,6312.6,6347.8,7678
2017-04-21,6316.8,6340.6,6252,6260.2,11332
2017-04-24,6244.8,6257,6106,6108.4,11588
2017-04-25,6129.2,6182.4,6115.6,6128,10751
2017-04-26,6128,6176,6128,6142,9484
2017-04-27,6129,6180.4,6026,6160,13148
2017-04-28,6155,6188,6148.4,6180.4,9521
2017-05-02,6180,6187.4,6153,6176,7378
2017-05-03,6175,6207.6,6136,6156.2,8925
2017-05-04,6147.8,6217.4,6121,6123.6,11114
2017-05-05,6113.8,6141,6047,6057.8,11746
2017-05-08,6050.2,6069.8,5945.2,5951.2,11810
2017-05-09,5950,5998.4,5907.8,5987,13017
2017-05-10,5993.2,6016,5839.6,5842.2,13186
2017-05-11,5826,5872,5706,5827.2,15025
2017-05-12,5834,5857.6,5786.8,5827.2,12302
2017-05-15,5852.6,5914,5852.6,5876.8,10723
2017-05-16,5865,6020,5822.2,6009.8,12510
2017-05-17,6008.8,6058.2,6006.2,6020,8392
2017-05-18,5980.8,6038.8,5953,5960.2,6604
2017-05-19,5930,5953,5884,5913.6,11508
2017-05-22,5918.8,5953.4,5804,5828.6,13770
2017-05-23,5828.6,5854.8,5710,5716,14652
2017-05-24,5700,5773,5641.2,5759,17961
2017-05-25,5757.2,5861.8,5691,5810.6,18142
2017-05-26,5814,5864,5797.2,5814.6,13410
2017-05-31,5891,5924.6,5762.6,5772.6,14585
2017-06-01,5748,5796,5658.2,5667,13960
2017-06-02,5662.8,5774.2,5613.6,5753.2,16216
2017-06-05,5779.4,5824.8,5761.8,5775,13961
2017-06-06,5773,5834.8,5767.2,5807.2,13789
2017-06-07,5810.2,5956.4,5810.2,5952,17251
2017-06-08,5949,5958.2,5914.8,5940,12267
2017-06-09,5930.6,5974.4,5900.2,5964.4,13901
2017-06-12,5935,5938,5876.6,5882.2,13912
2017-06-13,5882.2,5992,5880.4,5955.4,14417
2017-06-14,5963,5987.8,5948.2,5956.6,11214
2017-06-15,5959,6029.8,5955.8,6008.4,9639
2017-06-16,5969,5980,5945.4,5957.6,10300
2017-06-19,5958.4,6023.2,5951,6006,13114
2017-06-20,6016,6063.4,6007.6,6029.4,11596
2017-06-21,6029.2,6038.2,5977,6034,12909
2017-06-22,6029.8,6067,5936,5944.8,13635
2017-06-23,5950.2,5975.8,5861.2,5953.2,15863
2017-06-26,5978.6,6093,5957.4,6085.8,15279
2017-06-27,6088.2,6099.6,6043.2,6061,11615
2017-06-28,6055,6078.6,6026.4,6048,10632
2017-06-29,6064.8,6113.4,6056,6074.4,12074
2017-06-30,6056,6115.8,6043.2,6097.2,10787
2017-07-03,6102.8,6152.4,6086,6146,10519
2017-07-04,6147.2,6147.6,6090.8,6119,10580
2017-07-05,6114,6170.8,6100.8,6161.4,10359
2017-07-06,6162.2,6187.2,6106.6,6146.4,11767
2017-07-07,6137.4,6208.2,6133.6,6183.2,9324
2017-07-10,6177.6,6209.6,6144.2,6165,10530
2017-07-11,6173,6173,6092.2,6108.4,11885
2017-07-12,6117.4,6123.8,6013.8,6085.4,14774
2017-07-13,6100,6152.6,6080.4,6108.2,13115
2017-07-14,6101.4,6125,6065.4,6093.4,10337
2017-07-17,6080.8,6090,5821.2,5825.6,14069
2017-07-18,5825,5903.6,5818,5899,13280
2017-07-19,5898.8,6045,5883,6033.2,12040
2017-07-20,6038.2,6099.2,6033.4,6074,7763
2017-07-21,6017,6061.8,6001,6041.2,10257
2017-07-24,6044.2,6117.2,6031,6083.8,12208
2017-07-25,6085.4,6097.4,6023.8,6081.2,12117
2017-07-26,6099,6099.8,6033.4,6070,11368
2017-07-27,6065.6,6148.8,6014.8,6129.4,13550
2017-07-28,6120,6195,6115.2,6185.2,11414
2017-07-31,6181.2,6277.2,6155.6,6265.6,10639
2017-08-01,6266.2,6272,6223.4,6247.6,9877
2017-08-02,6258,6288.8,6205,6225.4,11432
2017-08-03,6215.6,6280,6208,6233.8,11448
2017-08-04,6235.4,6279.6,6180.2,6185.2,11656
2017-08-07,6205,6284,6191.8,6280,10457
2017-08-08,6280,6306.6,6253.6,6272.2,10318
2017-08-09,6270,6333,6265,6317.4,9116
2017-08-10,6296,6323.2,6213.6,6251,11676
2017-08-11,6231.2,6268.2,6118.2,6139.2,13899
2017-08-14,6159,6288.2,6155,6286.4,11498
2017-08-15,6283.2,6311.8,6265.8,6292.8,9847
2017-08-16,6290,6321.6,6254.6,6306.6,9492
2017-08-17,6327,6375,6296.6,6365.8,8103
2017-08-18,6295.2,6317.4,6272.2,6286.6,11687
2017-08-21,6300.4,6369.8,6300.2,6358.8,9814
2017-08-22,6361.4,6361.4,6311.2,6336,9826
2017-08-23,6330,6343,6245.8,6285.2,11679
2017-08-24,6295.2,6306,6238,6248.6,10851
2017-08-25,6254.6,6354.2,6254.4,6327.2,12426
2017-08-28,6340.4,6455.2,6331.4,6417.8,12706
2017-08-29,6418,6436,6368.4,6389.8,9490
2017-08-30,6391.2,6459.8,6386,6433.6,9523
2017-08-31,6441.4,6474.6,6423,6464.2,9403
2017-09-01,6474.4,6548,6444.8,6528.6,11171
2017-09-04,6536.2,6561,6510.8,6548.6,9401
2017-09-05,6548.8,6576,6516.4,6569.2,9619
2017-09-06,6554.8,6612,6544,6593.6,9571
2017-09-07,6595.2,6616,6535.8,6549.4,9524
2017-09-08,6556.6,6613.2,6522,6553.2,10936
2017-09-11,6562,6662.2,6556.2,6661.8,11705
2017-09-12,6671.2,6727.8,6616.8,6646.6,12628
2017-09-13,6641.4,6690.6,6622.4,6681.6,10725
2017-09-14,6689,6714,6652.4,6681.4,8593
2017-09-15,6675.8,6676,6605.6,6629.2,5483
2017-09-18,6577,6678.6,6577,6678.4,11344
2017-09-19,6684.8,6695.6,6579.2,6600.6,11034
2017-09-20,6606.2,6687,6589.6,6668.6,10902
2017-09-21,6673.8,6678,6574,6594.6,11326
2017-09-22,6583.4,6585.4,6492.6,6532.2,11104
2017-09-25,6536.2,6555.2,6433.6,6440.8,10909
2017-09-26,6450.2,6499.8,6450,6485,9697
2017-09-27,6495.8,6583.8,6495,6560,9570
2017-09-28,6559.6,6598,6515.6,6552,8530
2017-09-29,6564.8,6620,6546.6,6598.2,9176
2017-10-10,6690.2,6718.4,6656,6717,9048
2017-10-11,6726,6729,6646.2,6660.8,9397
2017-10-12,6656.8,6674.6,6603.4,6650.2,9198
2017-10-13,6661,6722.6,6655.4,6722,9541
2017-10-16,6728,6728,6600,6606.6,11680
2017-10-17,6600,6652.6,6584.4,6591.8,10644
2017-10-18,6598.2,6627.8,6531.2,6542.8,10362
2017-10-19,6543,6566,6487,6497,8358
2017-10-20,6515.8,6559,6499,6548,4910
2017-10-23,6536.8,6584.6,6520.2,6576.2,8413
2017-10-24,6570,6574.2,6495.8,6560.8,10951
2017-10-25,6565,6618.2,6526,6599.8,12020
2017-10-26,6599.8,6671.4,6570.2,6622.6,11669
2017-10-27,6625.4,6638.8,6566,6601.4,9710
2017-10-30,6600,6607,6409,6468.2,12708
2017-10-31,6468,6524.8,6446.6,6507.6,9877
2017-11-01,6520,6563.6,6476.4,6481,10581
2017-11-02,6480.4,6490.4,6403,6440,10208
2017-11-03,6440,6463,6320,6362,11202
2017-11-06,6380,6481.2,6357.2,6475,10490
2017-11-07,6479.8,6519.6,6452.4,6514.4,10105
2017-11-08,6515,6588,6504.6,6541,10231
2017-11-09,6540.6,6602,6536,6600.4,8469
2017-11-10,6594.8,6643.8,6571.6,6619.6,9186
2017-11-13,6627,6666.4,6601,6654,8177
2017-11-14,6642,6658.6,6575.8,6591.2,9516
2017-11-15,6576.2,6592,6496,6527,9863
2017-11-16,6531.2,6574.8,6513.6,6556,6801
2017-11-17,6515,6519.8,6305,6323.6,12036
2017-11-20,6325.2,6404.8,6220,6389.6,12786
2017-11-21,6389.2,6444.6,6348,6418,11744
2017-11-22,6430,6478.4,6342.4,6375.2,11872
2017-11-23,6385.2,6398.8,6206.6,6208.2,12836
2017-11-24,6208.2,6289.2,6200,6227,11166
2017-11-27,6242.8,6263.2,6131.4,6136,11442
2017-11-28,6147.4,6276.8,6147.4,6262.4,11769
2017-11-29,6255,6320,6176.8,6273.2,11922
2017-11-30,6260,6290.8,6190.8,6200,10720
2017-12-01,6218.8,6324.2,6215,6279,10660
2017-12-04,6279,6329,6217.6,6233.8,10948
2017-12-05,6226.4,6247.8,6061.4,6098,11557
2017-12-06,6103,6140.4,6026,6132,13550
2017-12-07,6129,6169.8,6082.4,6085.6,11733
2017-12-08,6088.6,6214.8,6088.6,6174,11866
2017-12-11,6198.2,6273,6198.2,6270.6,10107
2017-12-12,6260,6281.8,6217.2,6226.8,10533
2017-12-13,6233,6274.6,6201.6,6273.8,10388
2017-12-14,6278,6295.8,6236,6284,8162
2017-12-15,6277,6294.8,6207.2,6233.6,4442
2017-12-18,6216,6227.6,6135.2,6161.8,9672
2017-12-19,6177.6,6246.6,6170.6,6234,9895
2017-12-20,6230.4,6238.6,6150,6158.4,9779
2017-12-21,6160,6269,6107.2,6227,12255
2017-12-22,6234,6276.6,6223.2,6243.2,7802
2017-12-25,6245.4,6265.6,6142.6,6162,9515
2017-12-26,6163,6234.6,6132.2,6219.4,9924
2017-12-27,6230,6233.8,6147.8,6156.2,9052
2017-12-28,6145,6242.8,6145,6206,9604
