Date,Open,High,Low,Close,Volume
2017-01-17,3308.6,3326,3291.4,3315.4,10767
2017-01-18,3315.2,3358.2,3310.2,3345,9632
2017-01-19,3335.4,3350.2,3320,3326,7728
2017-01-20,3320.2,3356.6,3320.2,3353,9525
2017-01-23,3355.2,3379.2,3347.8,3352,7862
2017-01-24,3358,3364.4,3342.6,3353.4,6796
2017-01-25,3346,3370,3336,3369.2,6715
2017-01-26,3370.4,3394.8,3370,3377.6,6096
2017-02-03,3387,3387.6,3342.6,3357,6655
2017-02-06,3358,3368.6,3343,3354,7671
2017-02-07,3354.6,3360.6,3331.2,3349,7257
2017-02-08,3344.8,3373.8,3328.8,3369.4,8905
2017-02-09,3367,3400.8,3366.6,3380.6,8169
2017-02-10,3386.4,3410.2,3382.6,3402,8802
2017-02-13,3409.4,3426.2,3404.4,3419,8678
2017-02-14,3423.2,3424.6,3411,3419.4,7010
2017-02-15,3418.8,3437.8,3408.8,3410.2,7679
2017-02-16,3414.8,3433.6,3410,3432.4,5645
2017-02-17,3420,3439.6,3391,3392.4,11628
2017-02-20,3401,3464.4,3400.2,3462.6,16250
2017-02-21,3459.8,3475.8,3455.6,3459.2,15502
2017-02-22,3461.8,3469.6,3453,3467,13003
2017-02-23,3463.4,3468.8,3441,3453.6,14452
2017-02-24,3450,3455.8,3438.2,3453,12742
2017-02-27,3450,3453.2,3418.2,3426.6,13212
2017-02-28,3431.6,3445.6,3421,3429.4,13489
2017-03-01,3430,3461.6,3427.8,3435.2,15034
2017-03-02,3444.4,3449.8,3412,3418,14706
2017-03-03,3413,3415,3391,3405,14394
2017-03-06,3405.2,3431,3402.8,3422,14571
2017-03-07,3422.6,3432.6,3417.4,3432.6,11863
2017-03-08,3430,3436.4,3421.4,3430.4,11551
2017-03-09,3424.6,3425.6,3389.2,3403.8,15795
2017-03-10,3403,3416.8,3402,3406.6,12514
2017-03-13,3407.4,3454,3395.6,3452.8,16304
2017-03-14,3452.6,3454.8,3440.6,3446,11545
2017-03-15,3440,3458.6,3438.2,3451.4,13454
2017-03-16,3477,3495.4,3470,3481.4,11259
2017-03-17,3461,3467,3396.2,3407.2,16559
2017-03-20,3423.2,3426.6,3405.8,3417.6,13051
2017-03-21,3415.6,3435.6,3409,3435,14060
2017-03-22,3415,3433.6,3399,3421.4,15137
2017-03-23,3425.8,3450,3409,3433.8,17346
2017-03-24,3438.4,3494.4,3438,3483.4,17054
2017-03-27,3479.2,3489.6,3460.4,3461,14595
2017-03-28,3472,3472.8,3450,3458,13020
2017-03-29,3463.2,3471.8,3439.6,3456.6,15005
2017-03-30,3451.2,3461.8,3422.2,3431.6,18073
2017-03-31,3431,3452.8,3429.2,3450.4,13610
2017-04-05,3485,3511.2,3471.8,3507.2,16966
2017-04-06,3508,3509,3487,3504,13606
2017-04-07,3501.8,3520.8,3494.2,3510.6,13559
2017-04-10,3513,3513.8,3500.8,3501.6,10484
2017-04-11,3550,3550,3460.2,3505,16548
2017-04-12,3502,3512.4,3486.2,3496,14280
2017-04-13,3495.6,3519,3491.4,3508.6,12549
2017-04-14,3507.6,3511.8,3472.8,3477,14666
2017-04-17,3471,3479.6,3455.2,3472.4,15781
2017-04-18,3470.2,3485.8,3461.4,3462.6,13572
2017-04-19,3459.2,3461.4,3426,3440,15082
2017-04-20,3440,3463.8,3439.4,3458.6,10235
2017-04-21,3445,3456,3432.4,3441.2,14686
2017-04-24,3439,3441.8,3398.2,3408.2,16700
2017-04-25,3413,3434,3412.4,3422.6,13559
2017-04-26,3427.2,3448.8,3425.4,3427.8,14130
2017-04-27,3421.6,3435.2,3391,3426.8,16466
2017-04-28,3426,3430.8,3404.2,3420.4,12840
2017-05-02,3413.8,3422,3404,3407.4,10671
2017-05-03,3410,3419.6,3390.4,3396.8,12320
2017-05-04,3391.2,3412.8,3382,3383.4,13859
2017-05-05,3379.8,3384.8,3351.2,3360.4,14100
2017-05-08,3361,3368,3331.2,3339.4,14202
2017-05-09,3335,3351.8,3326,3342.2,14041
2017-05-10,3346.8,3354.6,3323.2,3323.8,13822
2017-05-11,3320,3352.6,3310,3341.4,15477
2017-05-12,3341.6,3370.6,3338.4,3367.2,14561
2017-05-15,3376.6,3399,3376.6,3386.6,12135
2017-05-16,3383,3431.2,3370,3431,14494
2017-05-17,3425.2,3431.2,3409.2,3411,10711
2017-05-18,3394.8,3412.4,3388,3392.4,8347
2017-05-19,3381.2,3388.4,3373.6,3381.8,12395
2017-05-22,3380,3405.6,3371.2,3382.2,15003
2017-05-23,3384.2,3421.6,3379.2,3402,17974
2017-05-24,3399.2,3407.6,3374,3402,16750
2017-05-25,3402.4,3493.6,3400.6,3486,19227
2017-05-26,3485.8,3500,3470.2,3480.6,13469
2017-05-31,3505.4,3516.8,3466.2,3482,14231
2017-06-01,3479.4,3495,3474.2,3489,12816
2017-06-02,3486,3494.8,3461,3480.8,13699
2017-06-05,3482,3488.6,3456,3456.6,12122
2017-06-06,3460,3485.6,3456.2,3484.6,12558
2017-06-07,3484.4,3536,3481.6,3533,15078
2017-06-08,3531,3566.2,3526.2,3559.8,13699
2017-06-09,3563,3589.6,3558.4,3578.6,13058
2017-06-12,3570.8,3598,3562,3568,13594
2017-06-13,3565,3588,3554.6,3576.2,13392
2017-06-14,3570,3573,3528.8,3532,12903
2017-06-15,3530,3550.8,3512.4,3524,11443
2017-06-16,3508.8,3518.8,3483.2,3488,12379
2017-06-19,3499.8,3538,3494.6,3530,14329
2017-06-20,3535,3545.6,3513.4,3521,12735
