Date,Open,High,Low,Close,Volume
2018-07-17,28451.5,28460.871,28137.949,28181.68,78239253580
2018-07-18,28352.109,28386.381,28045.469,28117.42,76223967780
2018-07-19,28251.162,28329.98,27998.361,28010.861,77418856800
2018-07-20,28054.758,28294.738,27745.85,28224.48,100336915810
2018-07-23,28298.611,28391.58,28091.059,28256.121,83957898670
2018-07-24,28282.301,28718,28282.301,28662.57,107763406380
2018-07-25,28906.969,28964.791,28764.35,28920.898,86374358470
2018-07-26,29083.398,29083.398,28625.082,28781.139,81368087070
2018-07-27,28734.73,28816.691,28572.791,28804.281,65484119930
2018-07-30,28631.049,28839.238,28539.559,28733.129,72300264020
2018-07-31,28663.139,28682.311,28538.029,28583.012,87511125980
2018-08-01,28756.721,28772.801,28219.971,28340.738,90427715340
2018-08-02,28159.012,28218.279,27578.09,27714.561,107200241950
2018-08-03,27751.6,27786.15,27604.561,27676.32,88249279610
2018-08-06,27885.51,28074.531,27730.42,27819.559,85562138480
2018-08-07,27889.439,28266.682,27843.162,28248.881,89002952700
2018-08-08,28473.479,28473.479,28224.461,28359.139,93099010000
2018-08-09,28260.5,28728.17,28192.811,28607.299,91115468660
2018-08-10,28614.73,28665.9,28296.988,28366.621,84747337950
2018-08-13,27956.781,28085.172,27823.209,27936.57,83460146410
2018-08-14,27938.32,27946.551,27522.818,27752.932,102408684240
2018-08-15,27724.721,27727.27,27249.082,27323.59,111495800740
2018-08-16,26871.111,27405.252,26871.111,27100.061,124535220230
2018-08-17,27388.57,27450.842,27101.102,27213.412,100306293710
2018-08-20,27273.779,27609.799,27209.219,27598.02,93682807850
2018-08-21,27670.541,27771.299,27526.301,27752.791,100325208470
2018-08-22,27836.678,27954.521,27579.801,27927.58,100431540460
2018-08-23,28005.332,28051.65,27659.209,27790.461,83967442510
2018-08-24,27565.98,27830.908,27532.061,27671.869,76926091390
2018-08-27,28016.66,28289.059,27956.039,28271.27,95697399930
2018-08-28,28530.889,28579.641,28234.531,28351.619,90530903270
2018-08-29,28362.842,28485.83,28272.131,28416.441,80129974290
2018-08-30,28533.93,28533.93,28121.402,28164.051,78598695380
2018-08-31,27798.211,27962.029,27720.32,27888.551,108091707410
2018-09-03,27809.449,27822.189,27577.039,27712.541,78897631820
2018-09-04,27619.182,27984.889,27563.789,27973.34,72128313790
2018-09-05,27789.021,27861.99,27208.34,27243.85,95196976090
2018-09-06,27069.209,27268.391,26818.818,26974.818,104958745090
2018-09-07,26895.869,27196.57,26669.58,26973.469,110527168800
2018-09-10,26922.27,26926.631,26453.289,26613.42,92906070430
2018-09-11,26611.93,26690.65,26394.871,26422.551,84525351050
2018-09-12,26462.818,26468.91,26219.561,26345.039,94840423150
2018-09-13,26798.391,27014.49,26648.77,27014.49,106396102170
2018-09-14,27229.789,27340.02,27027.449,27286.41,86890370010
2018-09-17,27029.91,27037.479,26763.209,26932.852,64447940390
2018-09-18,26846.33,27156.551,26648.99,27084.66,86366273050
2018-09-19,27170.02,27488.35,27085.789,27407.369,96375146980
2018-09-20,27605.721,27628.189,27327.229,27477.67,86836841250
2018-09-21,27712.35,27965.959,27536.27,27953.58,130575176020
2018-09-24,27783.85,27783.85,27425.012,27499.389,69327694750
2018-09-26,27606.811,28031.811,27589.369,27816.871,107993090530
2018-09-27,27912.51,27928.291,27638.541,27715.67,77713193830
2018-09-28,27879.059,27927.949,27672.828,27788.518,84401094300
2018-10-02,27716.16,27716.16,27073.082,27126.381,90980950970
2018-10-03,26840.199,27270.16,26840.199,27091.262,67451942390
2018-10-04,27029.402,27029.402,26551.439,26623.871,80231079020
