Date,Open,High,Low,Close,Volume
2020-06-24,44.46,44.95,44.02,44.38,20701578
2020-06-29,45.01,48.48,44.48,47.55,46708182
2020-06-30,47.61,48,47.11,47.85,28786078
2020-07-01,47.8,49.92,46.77,47.35,33556089
2020-07-02,47.5,48.17,45.8,46.16,40880165
2020-07-03,46.86,47.83,46.37,47.12,33296670
2020-07-06,48,49.16,47.3,48.72,55959008
2020-07-07,50.18,53.59,50.18,53.59,50028687
2020-07-08,55.5,57,52.4,55.68,65553117
2020-07-09,55,60,53.92,60,62878653
2020-07-10,59,59,54.87,56.67,92331911
2020-07-13,57.3,58.99,55.5,58.13,63994444
2020-07-14,56.7,56.74,53.1,53.91,79846479
2020-07-15,54.7,55.49,51.01,53.22,62577430
2020-07-16,53.41,55.28,51.48,51.77,57710409
2020-07-17,51.8,52.99,50.26,51.97,38684803
2020-07-20,53.06,53.49,50.71,52.48,40312878
2020-07-21,54.1,54.5,52.69,53.42,38699004
2020-07-22,53.95,56.99,53.52,56.5,63124333
2020-07-23,55.9,60.76,55.6,59.14,73551433
2020-07-24,58.66,60.96,55.71,56.08,62255269
2020-07-27,57,57.9,53.95,55.07,38209137
2020-07-28,56.05,56.78,55.25,56.75,29841044
2020-07-29,56.6,58.44,55.06,58.11,32142077
2020-07-30,59,59.28,56.95,57.81,32583044
2020-07-31,57.81,60.95,57.75,60.2,52247510
2020-08-03,61.51,61.85,59.59,60.38,34047385
2020-08-04,60.3,61.3,57.88,58.3,37518634
2020-08-05,58.33,58.81,57.44,58.36,22694296
2020-08-06,58.56,58.71,55.49,55.81,36676192
2020-08-07,55.95,56.78,52.89,54.32,33823403
2020-08-10,54,54.19,52.37,53.25,26080263
2020-08-11,53.9,54.7,52.51,52.64,23586499
2020-08-12,52.84,53.09,48.5,50.97,46878330
2020-08-13,52,52.03,49.92,50.39,22128441
2020-08-14,50.77,52.28,50.1,52.24,28036303
2020-08-17,52.5,53.53,50.5,53.42,35814558
2020-08-18,53.42,53.42,52.11,52.56,21877517
2020-08-19,52.11,52.2,49.99,50.09,24926270
2020-08-20,49.09,50.08,48.4,48.58,25008412
2020-08-21,49.15,51.08,49.15,49.62,25228019
2020-08-24,50.46,53.65,49.66,52.64,42922987
2020-08-25,53,56.58,52.8,53.88,50643972
2020-08-26,54.4,54.49,49.8,50.43,45372936
2020-08-27,50.7,51.2,48.42,50.12,31800242
2020-08-28,49.8,50.8,48.9,50.48,21505161
2020-08-31,50.65,51.09,49,49.01,29999698
2020-09-01,48.9,50.28,48.1,49.74,28610061
