Date,Open,High,Low,Close,Volume
2009-03-27,3550,3663,3513,3561,354590
2009-03-30,3550,3580,3528,3544,145168
2009-03-31,3538,3566,3531,3549,70592
2009-04-01,3560,3561,3543,3547,28100
2009-04-02,3545,3548,3456,3473,235446
2009-04-03,3481,3481,3436,3448,152376
2009-04-07,3410,3518,3410,3491,242578
2009-04-08,3480,3491,3456,3463,147288
2009-04-09,3476,3486,3460,3468,87688
2009-04-10,3483,3499,3470,3484,120978
2009-04-13,3485,3493,3464,3469,109820
2009-04-14,3475,3600,3469,3560,540646
2009-04-15,3570,3590,3550,3562,255606
2009-04-16,3582,3628,3570,3596,250464
2009-04-17,3594,3648,3581,3620,339250
2009-04-20,3620,3648,3608,3623,259196
2009-04-21,3580,3590,3486,3524,332448
2009-04-22,3550,3566,3508,3526,168524
2009-04-23,3529,3531,3488,3513,130386
2009-04-24,3513,3522,3497,3501,101444
2009-04-27,3510,3520,3492,3499,102472
2009-04-28,3496,3515,3496,3507,96548
2009-04-29,3507,3520,3503,3520,102694
2009-04-30,3536,3575,3523,3553,246912
2009-05-04,3573,3660,3571,3636,574332
2009-05-05,3636,3644,3570,3577,175954
2009-05-06,3578,3598,3573,3594,103788
2009-05-07,3628,3630,3591,3593,150420
2009-05-08,3599,3616,3589,3614,103620
2009-05-11,3615,3678,3606,3639,335082
2009-05-12,3645,3660,3630,3645,193634
2009-05-13,3655,3657,3634,3639,118636
2009-05-14,3616,3620,3590,3594,139572
2009-05-15,3600,3618,3596,3604,132292
2009-05-18,3595,3612,3581,3608,104746
2009-05-19,3630,3630,3611,3618,95620
2009-05-20,3616,3644,3612,3618,118774
2009-05-21,3620,3642,3618,3624,117628
2009-05-22,3619,3627,3608,3618,60222
2009-05-25,3629,3629,3600,3609,95810
2009-05-26,3609,3620,3596,3601,114194
2009-05-27,3628,3628,3606,3610,46518
2009-06-01,3630,3657,3622,3647,193008
2009-06-02,3660,3682,3652,3655,199128
2009-06-03,3659,3672,3656,3670,105466
2009-06-04,3650,3712,3645,3700,370954
2009-06-05,3721,3778,3720,3756,267786
2009-06-08,3755,3793,3747,3788,293778
2009-06-09,3797,3807,3768,3779,214676
2009-06-10,3792,3813,3774,3808,238210
2009-06-11,3810,3940,3807,3878,634152
2009-06-12,3888,3928,3835,3864,588842
2009-06-15,3855,3877,3823,3849,366022
2009-06-16,3829,3882,3828,3865,358246
2009-06-17,3861,3878,3841,3852,212522
2009-06-18,3852,3865,3830,3842,188838
2009-06-19,3852,3920,3846,3907,556782
2009-06-22,3908,3936,3900,3919,486210
2009-06-23,3898,3900,3835,3881,481544
2009-06-24,3888,3897,3858,3870,278854
2009-06-25,3862,3888,3858,3866,281842
2009-06-26,3870,3887,3846,3854,370288
2009-06-29,3846,3853,3823,3829,269442
