Date,Open,High,Low,Close,Volume
2020-06-24,2.938,2.962,2.931,2.958,329540029
2020-06-29,2.949,2.956,2.92,2.937,376772660
2020-06-30,2.945,2.968,2.944,2.956,428844681
2020-07-01,2.963,3.028,2.956,3.027,464423279
2020-07-02,3.019,3.114,3.019,3.103,687646308
2020-07-03,3.116,3.19,3.116,3.187,787174681
2020-07-06,3.23,3.481,3.23,3.469,2339053083
2020-07-07,3.526,3.539,3.4,3.402,1819728182
2020-07-08,3.397,3.489,3.391,3.447,988535773
2020-07-09,3.446,3.472,3.42,3.459,759348351
2020-07-10,3.425,3.44,3.36,3.373,784248398
2020-07-13,3.365,3.458,3.354,3.416,841174565
2020-07-14,3.408,3.429,3.341,3.38,747200569
2020-07-15,3.403,3.417,3.342,3.35,673905863
2020-07-16,3.356,3.37,3.2,3.206,1269468698
2020-07-17,3.22,3.266,3.195,3.229,693396748
2020-07-20,3.26,3.34,3.234,3.331,756395566
2020-07-21,3.341,3.346,3.312,3.329,705225417
2020-07-22,3.327,3.407,3.315,3.334,921931166
2020-07-23,3.307,3.353,3.268,3.331,634768634
2020-07-24,3.318,3.319,3.181,3.2,769536901
2020-07-27,3.218,3.245,3.186,3.211,421671756
2020-07-28,3.238,3.252,3.214,3.231,420878797
2020-07-29,3.228,3.298,3.216,3.291,483308548
2020-07-30,3.297,3.312,3.276,3.277,362218412
2020-07-31,3.278,3.337,3.244,3.295,872622932
2020-08-03,3.313,3.339,3.299,3.328,436063993
2020-08-04,3.337,3.38,3.328,3.359,843609342
2020-08-05,3.349,3.349,3.3,3.336,656266687
2020-08-06,3.345,3.363,3.287,3.338,613640321
2020-08-07,3.32,3.338,3.265,3.308,450541914
2020-08-10,3.296,3.358,3.275,3.333,456127861
2020-08-11,3.331,3.383,3.301,3.307,764764325
2020-08-12,3.303,3.317,3.245,3.297,678060440
2020-08-13,3.304,3.309,3.276,3.286,365243136
2020-08-14,3.285,3.346,3.277,3.343,483047598
2020-08-17,3.352,3.451,3.348,3.418,998561281
2020-08-18,3.421,3.427,3.394,3.413,616600600
2020-08-19,3.412,3.416,3.349,3.351,625511274
2020-08-20,3.33,3.334,3.295,3.312,464592274
2020-08-21,3.333,3.352,3.308,3.336,401735624
2020-08-24,3.349,3.373,3.338,3.346,675876600
2020-08-25,3.357,3.385,3.346,3.359,419978533
2020-08-26,3.355,3.375,3.313,3.323,421744124
2020-08-27,3.327,3.343,3.304,3.342,224394530
2020-08-28,3.337,3.428,3.331,3.424,517650192
2020-08-31,3.435,3.462,3.389,3.395,522450877
2020-09-01,3.385,3.405,3.379,3.404,313469098
2020-09-02,3.414,3.422,3.363,3.395,557717032
2020-09-03,3.394,3.426,3.371,3.387,293789238
2020-09-04,3.347,3.365,3.333,3.356,306289737
2020-09-07,3.349,3.375,3.293,3.301,341779252
2020-09-08,3.316,3.344,3.3,3.336,401768855
2020-09-09,3.303,3.317,3.258,3.285,434571230
2020-09-10,3.306,3.32,3.289,3.296,408338579
2020-09-11,3.284,3.32,3.28,3.313,269912773
2020-09-14,3.327,3.345,3.323,3.341,280336520
2020-09-15,3.342,3.371,3.326,3.367,339804522
2020-09-16,3.363,3.372,3.337,3.346,250042394
2020-09-17,3.341,3.341,3.307,3.314,254680304
2020-09-18,3.316,3.409,3.314,3.406,719479850
2020-09-21,3.411,3.419,3.36,3.362,482392161
2020-09-22,3.342,3.37,3.309,3.322,540055829
2020-09-23,3.322,3.334,3.305,3.325,409635195
2020-09-24,3.305,3.314,3.268,3.271,294713447
2020-09-25,3.281,3.296,3.267,3.282,320318247
2020-09-28,3.291,3.319,3.289,3.302,228523832
2020-09-29,3.32,3.323,3.294,3.295,287012615
2020-09-30,3.31,3.321,3.265,3.281,388025725
2020-10-09,3.327,3.35,3.325,3.337,469678103
2020-10-12,3.35,3.444,3.35,3.442,544969092
2020-10-13,3.428,3.445,3.416,3.437,271994295
2020-10-14,3.431,3.431,3.412,3.424,228471577
2020-10-15,3.419,3.449,3.414,3.425,494940923
2020-10-16,3.425,3.455,3.408,3.432,393686559
2020-10-19,3.453,3.486,3.397,3.409,535932001
2020-10-20,3.398,3.414,3.394,3.412,426396432
2020-10-21,3.419,3.434,3.403,3.433,433257663
2020-10-22,3.423,3.433,3.38,3.42,438333102
2020-10-23,3.42,3.449,3.402,3.408,534227894
2020-10-26,3.38,3.385,3.34,3.354,535554337
2020-10-27,3.349,3.354,3.331,3.346,337718901
2020-10-28,3.346,3.372,3.336,3.364,632950855
2020-10-29,3.335,3.403,3.329,3.383,471322600
2020-10-30,3.375,3.383,3.321,3.329,385778133
2020-11-02,3.333,3.351,3.302,3.317,394402626
2020-11-03,3.331,3.375,3.33,3.355,389458760
2020-11-04,3.36,3.395,3.349,3.38,376762310
2020-11-05,3.418,3.44,3.395,3.418,548497978
2020-11-06,3.428,3.429,3.387,3.408,384234455
2020-11-09,3.435,3.482,3.435,3.468,469912381
2020-11-10,3.491,3.492,3.451,3.466,429095468
